datetime,consumption_kWh
01-01-2021,"26,371.61"
02-01-2021,"23,079.92"
03-01-2021,"24,218.42"
04-01-2021,"20,242.38"
05-01-2021,"20,116.16"
06-01-2021,"19,356.54"
07-01-2021,"19,678.72"
08-01-2021,"22,331.85"
09-01-2021,"24,721.47"
10-01-2021,"23,234.21"
11-01-2021,"20,627.84"
12-01-2021,"21,290.82"
13-01-2021,"19,988.36"
14-01-2021,"21,303.85"
15-01-2021,"22,672.24"
16-01-2021,"22,664.41"
17-01-2021,"25,953.95"
18-01-2021,"20,155.83"
19-01-2021,"20,568.60"
20-01-2021,"22,574.21"
21-01-2021,"22,571.63"
22-01-2021,"22,836.80"
23-01-2021,"24,103.42"
24-01-2021,"24,445.04"
25-01-2021,"20,926.72"
26-01-2021,"21,971.51"
27-01-2021,"22,136.12"
28-01-2021,"20,713.24"
29-01-2021,"23,633.29"
30-01-2021,"24,656.45"
31-01-2021,"26,867.15"
01-02-2021,"23,347.96"
02-02-2021,"20,691.48"
03-02-2021,"22,820.29"
04-02-2021,"22,233.96"
05-02-2021,"23,671.79"
06-02-2021,"25,982.63"
07-02-2021,"27,775.96"
08-02-2021,"22,689.85"
09-02-2021,"22,705.24"
10-02-2021,"22,734.88"
11-02-2021,"23,794.77"
12-02-2021,"24,417.98"
13-02-2021,"25,550.86"
14-02-2021,"26,114.75"
15-02-2021,"22,934.77"
16-02-2021,"22,966.98"
17-02-2021,"23,632.94"
18-02-2021,"24,422.77"
19-02-2021,"25,446.03"
20-02-2021,"25,990.69"
21-02-2021,"28,212.74"
22-02-2021,"23,684.09"
23-02-2021,"22,466.46"
24-02-2021,"23,411.61"
25-02-2021,"22,446.60"
26-02-2021,"24,179.49"
27-02-2021,"25,833.49"
28-02-2021,"26,603.42"
01-03-2021,"23,959.80"
02-03-2021,"24,344.94"
03-03-2021,"24,767.98"
04-03-2021,"21,849.66"
05-03-2021,"25,332.14"
06-03-2021,"26,391.54"
07-03-2021,"28,383.28"
08-03-2021,"28,572.59"
09-03-2021,"23,678.24"
10-03-2021,"25,800.16"
11-03-2021,"23,873.22"
12-03-2021,"25,016.45"
13-03-2021,"29,297.39"
14-03-2021,"27,437.03"
15-03-2021,"25,137.53"
16-03-2021,"25,093.50"
17-03-2021,"23,777.47"
18-03-2021,"24,891.70"
19-03-2021,"24,911.14"
20-03-2021,"29,132.84"
21-03-2021,"27,156.45"
22-03-2021,"23,889.38"
23-03-2021,"25,383.39"
24-03-2021,"26,428.36"
25-03-2021,"25,835.81"
26-03-2021,"24,901.21"
27-03-2021,"29,045.24"
28-03-2021,"29,549.49"
29-03-2021,"24,609.51"
30-03-2021,"24,126.60"
31-03-2021,"24,214.24"
01-04-2021,"23,995.83"
02-04-2021,"31,606.42"
03-04-2021,"27,148.94"
04-04-2021,"35,411.09"
05-04-2021,"25,663.99"
06-04-2021,"25,872.78"
07-04-2021,"23,012.85"
08-04-2021,"23,832.29"
09-04-2021,"28,257.81"
10-04-2021,"28,962.01"
11-04-2021,"32,034.29"
12-04-2021,"25,171.37"
13-04-2021,"23,667.42"
14-04-2021,"24,660.50"
15-04-2021,"25,441.99"
16-04-2021,"28,277.20"
17-04-2021,"29,739.66"
18-04-2021,"29,375.39"
19-04-2021,"25,386.61"
20-04-2021,"24,990.48"
21-04-2021,"26,847.49"
22-04-2021,"25,522.33"
23-04-2021,"28,172.82"
24-04-2021,"29,719.25"
25-04-2021,"28,719.96"
26-04-2021,"25,791.03"
27-04-2021,"26,311.47"
28-04-2021,"26,543.17"
29-04-2021,"26,418.16"
30-04-2021,"27,392.30"
01-05-2021,"36,058.53"
02-05-2021,"29,435.26"
03-05-2021,"23,918.03"
04-05-2021,"25,271.37"
05-05-2021,"25,924.18"
06-05-2021,"22,935.86"
07-05-2021,"26,219.11"
08-05-2021,"29,046.07"
09-05-2021,"28,493.23"
10-05-2021,"26,095.07"
11-05-2021,"24,240.20"
12-05-2021,"24,851.48"
13-05-2021,"24,026.20"
14-05-2021,"27,639.34"
